1001 nátt
Í búri
Morgunflog
Teir sigla um havið so víða
Tillukku til tín
Tað er vakurt í Klaksvík á sumri
"Góða mamma, kom nú"
Øskudólgur og sópingarkona
Heimferð
Kyndaravalsurin
Á jólanátt
Eg eri ein lítil genta
Sjønne Helen
Heimbygdin Vágur
"Blunda, blunda, lítli mín"
Veðratátturin
Se den lille kattekilling
Eg rósu upp sá næla
Eg eri ein K
Eitt fjós og ein krubba
Aldri meir
Helena hara
Heima
Nissumamma og nissupápi
Eitt kvøldið so síðla
Bjørnin svevur
Dansur
Eg hugsi um teg
Hey hey
"Á, eg veit eitt land"
Vaksin
Blue Eyes Cryin' In The Rain
Living next door to Alice
Í dag er so ljóst
Harra Guð títt dýra navn og æra (gamla lagið)
Møtast og skiljast (nr. 762)
Brennur tað í tær
"Jólini koma, jólini fara"
Gentu kæti
Alt í lagi
Austin
Til Boga og allar nýføðingar
Saknur (Pól F)
Nú dagurin at enda er
Blóðið sum rann
"Í Betlehem, í Dávids stað"
Minnist tú enn
Lívið
Om lidt
Kalle Petersen
Ansa eftir
Andvera
Joanna
Hvad gør vi nu lille du
Papirsklip
Boðar tu til allar tjóðir
Lítli mín
Livandi ljós
Tillukku frá mær
Per fór til Havnar
Nú tendrast túsund jólaljós
Heit er náttin
Uttan teg
Trýssini
Mamma mín
Lítla fitta nissa mín
We shall overcome
Nú hitar sólin bjarta
Lille Peter Edderkop
Santa Lucia
Á Golgata eg gleði fekk í hjartað
Above all
Havnarmenn
Nú ringja kirkjuklokkur so hátt
Vøgguvísa
Shackles
"Gev mær olju á lampuna, Harri"
Gleðilig jól! Gleðilig jól! (nr. 105)
Her glaður eg ferðist (Nr. 681)
Ein skortlitt kúgv
Sov nú søti skattur
Vit sigla heim
Langt burt frá øðrum londum
Tvøroyrarsangurin
Kom heim
Eg átti einaferð ein hund
Bjørnen sover
Besta bók av bókum er (Nr. 745)
Byggja Guds ríki
Fest títt eyga á Jesus (nr. 359)
Tá babba kemur heim
Hvalen Hvalborg
"Fagurt ert tú, fosturlandið"
Føroyar tá sólin í tindrandi megi
"Hygg, kavin hann er komin"
Tú og eg á ástartingi
Kennir tú?
Hjá tær
Vónin
Eydnan
Ástarkvæði
Áarvegurin
Petur Kyll
Hugsa teg um
Gerandislag
Amnesty
Eg sá mammu mussa jólamann
Dropin
Tillukku
Toybil
Veitst tú hvør eg eri?
Vøgguvísa
"Hei, hei Nikolai"
Tú bar mær ta sól
Í tínum eygum
Midt Om Natten
"Eg eri innan, uttan, uppi, niðri"
Do it again
Bókin um Jesus er bók fyri meg (nr. 744)
Breið tínar náðiveingir (nr. 894)
Der er nåde nok for os
"Abba Faðir, hjálp tú mær"
Kvøldarsólin
Spanska Fluga
Tulipanærin
"Hann, sum etur fleskafeitt"
Í barnagarði ynski eg
Have you ever seen the rain
Fly on the wings of love
Love Me Tender
"Harra Guð, títt dýra navn og æra (nýtt lag)"
Happy Day
Nú dagurin at enda er (nr. 826)
"Jesus, halt meg við tín kross (nr. 146)"
So gott tað er at koma saman her ( nr 7 í ssk)
Tú fylgdi mær fyrst (nr. 58)
Tíðirnar skifta
This little light of mine
Tína dýrd tú ofraði
You're beautiful
Uttan teg
Mær er sagt um ein stað (Nr. 583)
Mín bátur er lítil
Ongum er so trygt at fara (nr. 51)
"Stór er tín trúfesti, o Gud"
Friends
"Vær velkommen, Herrens år"
"Glade jul, dejlige jul"
Go down Moses
Vælkomin heim
Tillukku í dag
"Havið, havið"
Út á havið
Skúmbananir
Tinganes
Sirkus Tinganes
Mín grái Fordur
Ritukvæðið
Fimm feitar flugur
Bart av brimi
Kendar gøtur
Súkkla nú
"Mæ, mæ, mæ"
"Bið, o, Jesus, fyri mær"
Bíbil sigur undur frá
Á hvør ein morgun (See what a morning)
Awesome God
Føgur er foldin (nr. 106)
Eg havi F-R-I-Ð
Einleiki
Miðalhampamaðurin
Rørslusangur
Stuttligt er um jólatræ
Fagur himin er at sjá
Millum mussarnar
Triðja dagin eftir
Trýssini
Til tey stressaðu
So ganga míni ár
Meirilutin ræður
Eystein
Hon
Kvinde Min
Ein glotti fyri framman
Gullkálvavalsurin
Hált í støðum
Hygg at mær
Illlýsi í november
Vuffeli Vov
Midsommervisen
Kavin kom
Lat meg goyma teg
Liljan mín ljósa
Skuggar yvir Peking
Morgunsangur
Leygarmorgun í Havn
Sálarhirðin
"Tit, sum í fjøru fóru"
Summarmynd
"Farvæl, takk fyri í dag"
Kongurin
Kom og hermi eftir mær
Hvussu var tað nú hon æt
Rudolf
Eg eri glað
Arms of Love
As the deer
Á myrku vetrarnátt
Blessed be your name
At hava Jesus her í lummanum
"Ansa eftir, hvat tú sært, eyga mítt"
Á Golgata høvd var ein krossur
Í urtagarð hans komi eg
Á kvøldartíð ein vinur stillur stendur
Á lívshavsins bylgjum
I dag er det Oles fødselsdag
Bordbøn
"Sur, sur, sur"
Á vakt á ljóssins tindum
Send dit lys
Vit gera klovnafimleik
Heima í himli
Eg hoyrdi einglasong runga halleluja
Allan vegin hann meg leiðir (nr. 470)
Jens Vejmand
Tú dregur meg sum ein magnetur
Várnátt
Hvønn ein mánadag
Marita
Eg fór til læknan
Vælkomnir føroyingar her í vási
Ein lítil fiskur svam
Svarti ravnur
Det kimer nu til julefest
Et barn er født i Betlehem
"Halleluja, Halleluja, Halleluja, veldis Gud"
Her eri eg
Hvørjaferð eg síggi stjørnurnar
Halle- halle-halleluja
"Her koma, Jesus, tíni smá"
Stór er tín trúfesti
Rita navn títt mær í hjarta (nr. 898)
Mín hirði góður Harrin er (Nr. 482)
Mær er kensla í barmi (nr. 91)
Upp á tindar
The Anthem
Túsund stjørnur glampa
"Tað er ein eingil, sum varðar meg"
"Upp alt, ið Harrin hevur gjørt (Nr. 45)"
"Uppá tindar, gjøgnum dalar"
Tær vit takka
Tað finst ein vón (There is a hope)
"Takk, Gud, fyri alt, sum hendi (nr. 40)"
Sakeus ríki búði
Stuttligt er um jólatræ
Um eg var av músaslag
Ver vælkomið Harrans ár (nr. 90)
Ver kvirr (Be still for the presence of the Lord)
Mær tørvar teg
"Mæ, mæ, mæ, kanst tú gita navnið mítt"
Jólaklokkan aftur ringir (nr. 100)
Kveik ljós
"Pápi, tað er so mangt"
Reinur sum kavi (nr. 357 - nýtt lag)
Still (Hide me now)
So will I (100 Billion X)
Sigurin
"Skín, Jesus, skín (Ljós tíns kærleika skínur)"
Signað er títt navn
Sælasta vissa (Nr. 438)
How great thou art
Hoppa og dansa
Hann rópti fullgjørt - Jesus er Harri
Gud eg lyfti navn títt høgt
Gud hvønn ein smáfugl hevur skapt
"Gud, ger meg til eitt lítið ljós"
Den yndigste rose er funden
"Ja, vi elsker dette landet"
Dejlig er den himmel blå
Eg havi fingið ein lítlabeiggja
Tá sjómaður kemur heim
Sjómaður kvøður
Katrin
Rottur
Skava og vinn
Um brúðarnáttina
Jetta
EDV skráin
Nú í kvøld
Tey fara framvið
Rósan og summarfuglurin
Náttin er von
Úr øllum ættum koma vindar
Bóndin hungrar
Agnus Dei
Alfa og Omega (NO)
Allar mínar byrðar
"Í gjár, í dag, ja alla tíð"
Fest títt eyga á Jesus
"Jól, jól, BUBU jól"
"Broyt mítt hjarta, Gud"
At blive elsket af dig
Av øllum hjarta
Allan mín lovsang
Come and go with me
"Beautiful, beautiful"
Eg vil vera við
"Drag meg, o Jesus (nr. 515)"
Eg gleðist so hvørt jólakvøld (nr. 115)
Eitt hjarta reint
Eg livi og veit
Eftir Tær mær leingist
"Eg eigi vin, sum seg sjálvan gav"
Tú fylgdi mær fyrst
Livsuret
Rím og ramsur
Tá vit eru í góðum lag
Vilt tú við?
Til Tín
"Her koma, Jesus, tíni smá"
Motormani
Sangur um flyting
Tjóðsangur fyri hina helvtina
Vikuskifti
Vit sigra
"Nú er sól, nú er summar"
Askepot
McArine
Herluf
Eftir regnið
Eg havi tað gott
Hálvgum mestsum ov
Syrgiligt lag
Land mítt har grasið í líðum grør
I like the snaps
Náttarlongsul
Longsul
Gestur
Stýr tær!
Ringulríma
Loyndarmálið
Tvær fjaðrar
Summarnátt
Talað við gluggan
Tarsankvæði
Kvøld á Tinganesi
Spæliland
Tín tunga
Der er altid et sted på jorden
Mítt vakra heim
Eitt samfelt takkarlag
Eg visti um Jesus og hansara leið (nr. 382)
Eg vil vera ein viti
Eitt ævigt ríkidømi (706)
Eg eri Jesu trompet í dag
Breathe on Me
"Bless the Lord, oh my soul (10.000 reasons)"
"Alt eg gevi tær, o, Jesus"
"Broyt mítt hjarta, Gud"
Koyra í bili
Seg lágt yvir hav
Vit liva saman
Farin ár
Nú er tað nakað síðan
Aldri tann dagur úr huga mær rennur
Av øllum nøvnum elski eg
"Bert ein stutt, lítil stund, og eg fari"
Vestmannakvøða
Mítt lítla land
Vak meg ikki
Tú lýsti
"Tvey, ið eru góð"
Træið
Frítíðarparadís
Gamal maður kvøður
Mitt á Vaglinum
Kaggablues
Til tey giftu – og tey ógiftu
Sera ser vísa
P.M. Dam
Per Jákup Mikal
Piparbússukvæðið
Sjómansgentan
Skútan svarta
"Vind op, vind op i rå"
"Út vil eg, út"
Eg havi ferðast so víða
Gentan á Nesinum
Sólin er so reyð mamma
En rose så jeg skyde
"Glað, glað, glað, í hjartanum er gleði"
Hjá Jesusi fann eg tann friðin (nr. 456)
Harri av hjarta
"Holy, holy, holy"
"Halgur, halgur, halgur! (nr. 36)"
"Harri, av hjarta, tú kærur mær ert"
Gud enn á trónuni er (nr. 763)
Farin er nú stytsti dagur (nr. 787)
"Faðir, fylg mær henda dag"
Framum alt
"Eitt barn er føtt í Betlehem, Betlehem"
Forever
Hann tekur ei gleðina frá tær (Nr. 717)
Harrin er mín styrki og mín lovsongur
Hann hevur valdið
Hosianna (Lovsongur ljómar)
"Harri, ger tað stilt í mínum hjarta (Nr. 686)"
"Heilaga stund, tú á fold vára (Nr. 107)"
Hond í hond vit ferðast inn í kærleikans land
Halt saman hendur
Í Guds húsi
So tak tá mínar hendur (nr. 893)
Reinur sum kavi (nr. 357 - gamla lagið)
Send tínar streymar av náði (nr. 17)
Ognarfólk
Nú tendrast túsund jólaljós (nr. 124)
"O, veldis Gud (nr. 31)"
Nú ringja kirkjuklokkur so hátt (Nr. 99)
Nothing is impossible
"Nú skalt tú hoyra, so tú kanst trúgva"
"Latið børnini koma, ja, koma til mín (nr. 729)"
"Jesus, kom inn, Jesus, kom inn"
I bow down
Jesus besta navnið er (nr. 71)
Mána og sól
Majestic
Harri tala til mín (Nr. 458)
"Myrkur, kvøl og háð"
Your majesty
You are good
Tað sótu seyðamenn á vakt (nr. 102)
Signing og heiður (Ancient of days)
This is my desire
Tú ert størri (Stronger)
Tú talar vón
Tað lítla ljós eg fekk
Torir tú sum Dánjal
Tveir lærusveinar ein dag
This is amazing grace
"Tann dagur, tú gav (nr. 689)"
"Tøkk til tín, Gud (nr 9 í ssk)"
Tú mær legði ein nýggjan sang
"Tú, sum gavst ljós milliónum av stjørnum"
Tú ert boðin við
Tú kanst vera glaður alla tíð
Tá Jesus kemur og bankar á mítt hjarta
Títt blóð er tað sum reinsar meg
"Tín miskunn, o, Guð, er sum himinin há (Nr. 52)"
Tann dag á krossi
Tá basúnin ein dag ljóða skal (Nr. 579)
Takk eg sigi tær fyri alt
Ævig kelda
"Øll, ja, øll, vit vilja hava við"
You are holy (Prince of Peace)
You are Stronger
Vit prísa Gud' á morgni (nr 8 í ssk)
Your Name
Vit eru heilagt fólk
"Vit lovprísa tær, Faðir (Nr. 752)"
Jesus er í gjár og í dag hin sami (nr. 764)
"Jesus, í tær"
"Mín sál, hon er frí"
Majesty
Mong tey klaga um veður og vind
Mighty Cross
Jesus til várt sálargagn (nr. 72)
"Í gjár, í dag, ja alla tíð (nr. 330)"
"Í Betlehem, í Dávids stað (nr. 104)"
Tú fylgir mær á lívsins leið
"Jesus, mín klettur (nr. 79)"
"Jesus, tú við Jordan á"
Kom og nem við meg
"Kom, rópa til Gud og tilbið"
King of my heart
"Kæri, góði Guð, eg vil takka tær"
"Kennir tú hann, sum á vatninum gongur?"
Leið meg Gud á lívsins veg
"Leyp upp av frøi, syng mín sál"
"Lord, I need you"
"Neyðugur tú ert mær, Jesus (nr. 422)"
Navnið Títt
"Mamma, troytt er barn títt vorðið"
Livandi Trúgv
Lít allar tínar leiðir (Nr. 47)
Nú Vakni øll úr svøvni galð (nr 1 í ssk)
Sum Jesus ei nakar á jørðini var (nr. 495)
Sig mær ta gomlu søgu (nr. 19)
Stórur Harri mín er (10.000 Reasons)
Syng um Jesu undurfulla kærleik (Nr. 543)
Í sunn'dagsskúla fari eg (nr 5 í ssk)
"Í staðnum Betlehem, har Jesus føddur var"
Jørðin gleðir seg
Hin góði hirðin gongur og telur síni lomb
Haldið fram í fylking (nr. 630)
"Halleluja, opphøy Jesus"
"Heilur, frelsari og Kristur!"
Hvønn sunnudag eg gleði meg ( nr 4 í ssk)
Hin vænasta rósa er funnin (Nr. 108)
Heima í himli (nr. 559)
Hosanna (I see the king of glory)
"Her eg komi, Gud"
Hann gav lívinum innihald (Nr. 765)
"Hátign Tín, alveldis Kongur mín"
Heilagur ert Tú
Hans navn er undurfult (nr. 771)
Find me in the river
"Frelsarin føddur, boðar eingla ljóð"
"Guds kærleiki er nógv, nógv størri (nr. 27)"
"Faðir, signa henda dag"
"Gud, vit lovprísa tær"
Good good Father
"Go, tell it on the mountain"
Gud er mentur
"Hvat skal eg geva tær, Harri (nr. 642)"
Gud mín hann er stórur
Give thanks
Góðska Guds
Guds ætlan stór er við tær
Gud gav mær hendur at klappa við
Gleðin mær í hjarta býr
"Gud, vár faðir, sum ert í himli"
Dejlig er jorden
Tolin bíða
"Her kommer, Jesus, dine små"
Julen har bragt velsignet bud
Julen har englelyd
"Green, green grass of home"
Island of dreams
Let me be there
Tá tjøldrini koma
Silvurkannan
Karl á Bakka-valsurin
Brita á brekku
Og hevur nú í kortinum
Ovboðið
Sambandsfall
Kuffert
Lyktamaðurin
Jónatan og Anton
Gevið brøður
"Danmark, nu blunder"
Vetrarkærleiki
Nú gerst føgur summarnátt
Danser i min mors høje sko
Vøgguljóð
"O, Jesus, bróðir besti"
Sært tú á krossinum Jesus
"Niðan á heyggin, Golgata mót"
"Hoyr, tú máttleysa sál"
Eymt og í kærleika Jesus enn kallar
Tá Jesusi eg lív mítt gav
"Á, signaða vissa: Øll syndin er rindað"
Líka mikið
Sum ein roykur
"Jeg er din, o Gud"
Ár í synd og hugmóð livdi eg
Alt hitt gamla er at enda
Hjá Jesusi fann eg tann friðin
Bjart várs Faðirs náði skínur
Eg stundi eftir at lenda har heima
Beautiful one
Broken Vessels (Amazing Grace)
"Breathe on me, breathe on me"
"Come, now is the time to worship"
"Børn, tey eru svørt og hvít og brúnlig"
"Beri eg sorg, sum man tyngja mítt sinn"
Child of God
Eg sum lítil lærdur varð
"Faðir í himli, O vit elska teg"
Eymt og í kærleika Jesus enn kallar (nr. 328)
Eg havi hoyrt um lyklakláran bústað
Er títt hjarta troytt á tungum vegi (nr. 519)
Eg sá reistan langt burtur (nr. 160)
"Eg Golgata, tann gamla heyg (nr. 309)"
Enough
"Eitt hjarta er, ið hin sonin elskar"
Eg rósu upp sá næla (Nr. 116)
Eg eygu míni hevji
Eg hoyrdi einglasong runga halleluja (nr. 603)
Eg vil prísa Tær
"Eg vil upplyfta Teg, Gud"
Eg oyggjar veit
Hvalvík og Streymnes
Nú sprettur á fold og spírar
Den kedsom vinter gik sin gang
Nú nemur náttin við smærur
Den signede dag med fryd vi ser
"Leið, milda ljós"
Hon stóð har við rokkin
Jól hava einglaljóð
Tá pisurnar flúgva
Tað gongur nokk
Tað kundi verið so gott
Ungdómslív
Tjaldrið
Lítli mín í nátt
Lívið er ein ferð
Ria
Samvitskufangin
"Heima, tú ert aftur heima"
Várið og lívið
Verkamaður alra landa
Flag
Eg fái onga ró
Hví eru Føroyar bert grót og flag?
Fed Rock
Harraboð
Kanska í dag
Kvøldardøggin
Lagaliga landið
Eg saðlaði mær ein hvítan hest
Balladan um Jesús Escuan
Dýrt fyri meg
